"﻿""Date""",Price,Open,High,Low,Vol.,Change %
"Mar 10, 2010",130.51,129.11,131.17,128.48,5.63M,1.31%
"Mar 11, 2010",133.58,130.45,133.62,130.36,7.24M,2.35%
"Mar 12, 2010",131.82,134.2,134.2,131.18,6.15M,-1.32%
"Mar 15, 2010",131.13,131.7,132,128.63,6.33M,-0.52%
"Mar 16, 2010",131.79,131.24,132.29,130.5,4.14M,0.50%
"Mar 17, 2010",131.34,132.41,132.69,131.22,4.36M,-0.34%
"Mar 18, 2010",132.76,131.02,132.85,130.44,5.02M,1.08%
"Mar 19, 2010",130.35,133.71,133.71,129.66,8.91M,-1.82%
"Mar 22, 2010",130.47,130.2,130.96,128.64,5.38M,0.09%
"Mar 23, 2010",129.26,130.89,130.94,128.07,4.21M,-0.93%
"Mar 24, 2010",128.04,128.64,129.4,127.2,4.70M,-0.94%
"Mar 25, 2010",134.73,129.14,136.91,128.04,16.21M,5.22%
"Mar 26, 2010",135.06,134.9,136.99,133.76,6.58M,0.24%
"Mar 29, 2010",135.12,135.37,136.63,134.33,4.63M,0.04%
"Mar 30, 2010",136.58,135.74,138.19,135.36,6.20M,1.08%
"Mar 31, 2010",135.77,136,136.8,134.48,4.60M,-0.59%
"Apr 01, 2010",131.81,135.8,136.51,131.18,8.79M,-2.92%
"Apr 05, 2010",131.49,132.85,133.74,130.78,5.82M,-0.24%
"Apr 06, 2010",135.56,131.23,136,131.18,7.95M,3.10%
"Apr 07, 2010",134.87,135.96,136.08,133.86,5.95M,-0.51%
"Apr 08, 2010",140.96,134.71,141.25,134.71,12.69M,4.52%
"Apr 09, 2010",140.06,140.72,141.33,139.07,6.01M,-0.64%
"Apr 12, 2010",141.2,140,142.91,139.68,5.45M,0.81%
"Apr 13, 2010",140.16,141.23,141.98,139.12,4.79M,-0.74%
"Apr 14, 2010",144.28,140.34,144.5,139.2,7.90M,2.94%
"Apr 15, 2010",145.82,144.55,147.09,144,7.83M,1.07%
"Apr 16, 2010",142.17,144.88,147.17,141.45,8.40M,-2.50%
"Apr 19, 2010",142.43,142.35,143.67,139.13,6.02M,0.18%
"Apr 20, 2010",144.2,143.83,144.64,142.1,4.31M,1.24%
"Apr 21, 2010",146.43,145.17,149,143.52,7.37M,1.55%
"Apr 22, 2010",150.09,147.01,151.09,145.88,15.17M,2.50%
"Apr 23, 2010",143.63,145.38,149.09,142.42,18.98M,-4.30%
"Apr 26, 2010",147.11,143.2,147.73,142.9,9.32M,2.42%
"Apr 27, 2010",142.02,145.55,146.44,141.11,8.64M,-3.46%
"Apr 28, 2010",139.35,142.59,142.75,138.69,9.24M,-1.88%
"Apr 29, 2010",141.73,140.09,142.45,139.79,6.31M,1.71%
"Apr 30, 2010",137.1,141.4,141.4,136.91,6.11M,-3.27%
"May 03, 2010",137.49,137.2,139.44,136.11,5.66M,0.28%
"May 04, 2010",129.83,135.62,135.81,128.38,12.67M,-5.57%
"May 05, 2010",130.93,128,131.61,127.55,9.46M,0.85%
"May 06, 2010",128.71,130,132.33,120.6,10.20M,-1.70%
"May 07, 2010",124.98,127.97,131.18,123.76,11.94M,-2.90%
"May 10, 2010",131.29,129.73,132.21,129.26,6.81M,5.05%
"May 11, 2010",130.46,129.95,133.08,128.47,6.05M,-0.63%
"May 12, 2010",133.87,131.41,134.13,129.68,5.91M,2.61%
"May 13, 2010",131.47,133.93,136.99,131,5.94M,-1.79%
"May 14, 2010",128.53,130.36,131,126.76,5.28M,-2.24%
"May 17, 2010",128.91,128.24,129.95,125.8,5.64M,0.30%
"May 18, 2010",126.28,130.14,131.25,125.51,5.26M,-2.04%
"May 19, 2010",124.59,125.51,127.93,123.8,6.46M,-1.34%
"May 20, 2010",119.71,122.64,125,118.78,8.59M,-3.92%
"May 21, 2010",122.72,117.89,124.97,117.52,7.97M,2.51%
"May 24, 2010",122.12,122.57,124.5,120.65,4.54M,-0.49%
"May 25, 2010",124.86,118.54,125.19,118.5,7.12M,2.24%
"May 26, 2010",123.21,125.05,125.79,122.3,6.97M,-1.32%
"May 27, 2010",126.7,124.98,126.85,120.6,4.75M,2.83%
"May 28, 2010",125.46,126.07,127.6,124.01,3.96M,-0.98%
"Jun 01, 2010",123.24,124.97,126.57,123.02,3.66M,-1.77%
"Jun 02, 2010",126.31,124.02,126.43,121.65,4.76M,2.49%
"Jun 03, 2010",128.76,126.25,129.15,124.85,5.28M,1.94%
"Jun 04, 2010",122.77,126.33,128.2,122.18,5.50M,-4.65%
"Jun 07, 2010",122.01,125.84,126.61,121.67,6.57M,-0.62%
"Jun 08, 2010",118.83,122,122,115.8,11.52M,-2.61%
"Jun 09, 2010",117.91,120.31,121.47,117.36,7.37M,-0.77%
"Jun 10, 2010",123.21,120,123.5,119.2,6.06M,4.49%
"Jun 11, 2010",123.03,121.39,123.53,120.29,4.21M,-0.15%
"Jun 14, 2010",123.83,124.24,125.7,123.5,3.92M,0.65%
"Jun 15, 2010",126.84,123.2,126.92,122.5,4.54M,2.43%
"Jun 16, 2010",126.9,125.39,127.98,125.36,3.96M,0.05%
"Jun 17, 2010",125.89,126.74,127.8,124.69,3.48M,-0.80%
"Jun 18, 2010",125.83,126.48,127.48,125.07,3.84M,-0.05%
"Jun 21, 2010",122.55,126.79,127.48,121.41,5.33M,-2.61%
"Jun 22, 2010",122.31,122.65,125.23,121.55,6.21M,-0.20%
"Jun 23, 2010",121.45,122.11,123.22,120.04,5.46M,-0.70%
"Jun 24, 2010",118.33,120.61,120.85,116.8,7.77M,-2.57%
"Jun 25, 2010",121,118.14,121.76,117.63,5.77M,2.26%
"Jun 28, 2010",117.8,118.85,120.04,117.1,5.61M,-2.64%
"Jun 29, 2010",108.61,116.26,116.48,106.01,12.87M,-7.80%
"Jun 30, 2010",109.26,108.58,112.68,108.11,9.74M,0.60%
"Jul 01, 2010",110.96,108.9,111.69,106.7,8.53M,1.56%
"Jul 02, 2010",109.14,110.92,111.29,108.56,4.48M,-1.64%
"Jul 06, 2010",110.06,110.65,112.53,109,5.22M,0.84%
"Jul 07, 2010",113.43,109.84,113.63,109.81,4.94M,3.06%
"Jul 08, 2010",116.22,115.02,117.48,114.07,6.78M,2.46%
"Jul 09, 2010",117.26,116.55,117.4,114.65,4.07M,0.89%
"Jul 12, 2010",119.51,117.81,119.7,117.32,4.78M,1.92%
"Jul 13, 2010",123.65,120.69,124.88,120.3,7.09M,3.46%
"Jul 14, 2010",123.3,123.03,123.75,121.47,5.26M,-0.28%
"Jul 15, 2010",122.06,120.13,122.48,119.26,6.05M,-1.01%
"Jul 16, 2010",118.49,121.28,121.92,118.01,6.23M,-2.92%
"Jul 19, 2010",119.94,118.38,120.74,117,5.03M,1.22%
"Jul 20, 2010",120.1,120.61,120.71,117.51,6.79M,0.13%
"Jul 21, 2010",117.43,120.62,121.25,117.26,5.01M,-2.22%
"Jul 22, 2010",120.07,118.71,120.87,118.02,15.00M,2.25%
"Jul 23, 2010",118.87,105.92,119.28,105.8,42.42M,-1.00%
"Jul 26, 2010",118.4,118.26,118.6,114.88,11.14M,-0.40%
"Jul 27, 2010",117.13,118.43,118.5,115.07,7.80M,-1.07%
"Jul 28, 2010",117.13,117,118.2,116.4,5.47M,0.00%
"Jul 29, 2010",116.86,117.99,118.87,115.52,6.18M,-0.23%
"Jul 30, 2010",117.89,115.53,118.74,114.51,7.08M,0.88%
"Aug 02, 2010",120.07,119.15,120.38,117.57,5.48M,1.85%
"Aug 03, 2010",122.42,120,122.87,119.68,5.96M,1.96%
"Aug 04, 2010",127.58,123.06,128.47,123,9.28M,4.22%
"Aug 05, 2010",127.83,126.77,128,125.82,4.28M,0.20%
"Aug 06, 2010",128.32,126.72,128.4,125.9,5.07M,0.38%
"Aug 09, 2010",128.83,128.46,129.93,127.85,5.09M,0.40%
"Aug 10, 2010",130,127.95,130,127.38,5.71M,0.91%
"Aug 11, 2010",125.89,128.1,128.12,125.2,5.54M,-3.16%
"Aug 12, 2010",126.56,123.76,127,123.55,4.37M,0.53%
"Aug 13, 2010",124.69,126.06,127.48,124.26,3.98M,-1.48%
"Aug 16, 2010",126.07,123.61,127.37,123.04,4.03M,1.11%
"Aug 17, 2010",128.86,127.34,129.98,126.79,5.05M,2.21%
"Aug 18, 2010",129.65,129.25,130.81,128.26,7.90M,0.61%
"Aug 19, 2010",127.57,129.22,130.02,126.82,5.58M,-1.60%
"Aug 20, 2010",127.76,127.2,128.04,126.02,4.17M,0.15%
"Aug 23, 2010",126.6,127.86,129.22,126.5,3.87M,-0.91%
"Aug 24, 2010",124.53,125.41,125.44,123.18,5.37M,-1.64%
"Aug 25, 2010",126.85,123.85,127.37,123.83,5.35M,1.86%
"Aug 26, 2010",124.86,127.15,127.59,124.82,4.70M,-1.57%
"Aug 27, 2010",126.64,125.46,126.64,122.25,5.08M,1.43%
"Aug 30, 2010",123.79,126.03,126.95,123.69,3.43M,-2.25%
"Aug 31, 2010",124.83,122.85,125.9,122.5,4.23M,0.84%
"Sep 01, 2010",132.49,126.36,132.6,126.17,7.14M,6.14%
"Sep 02, 2010",135.21,132.17,135.21,132.05,5.41M,2.05%
"Sep 03, 2010",138.79,136.89,139.5,136.62,6.59M,2.65%
"Sep 07, 2010",137.22,137.56,138.6,136.89,3.89M,-1.13%
"Sep 08, 2010",139.14,137.93,139.7,136.45,5.83M,1.40%
"Sep 09, 2010",140.38,140.39,141.37,139.26,4.97M,0.89%
"Sep 10, 2010",142.44,140.75,142.6,140.04,5.04M,1.47%
"Sep 13, 2010",145.07,144.07,145.74,143.76,5.08M,1.85%
"Sep 14, 2010",145.75,144.5,146.7,143.83,4.32M,0.47%
"Sep 15, 2010",145.45,144.88,145.62,143.56,4.91M,-0.21%
"Sep 16, 2010",148.13,145.4,148.23,145.16,5.83M,1.84%
"Sep 17, 2010",148.32,148.9,148.98,146.5,7.26M,0.13%
"Sep 20, 2010",151.3,148.7,151.95,147.35,6.46M,2.01%
"Sep 21, 2010",150.73,150.76,153.31,149.6,7.55M,-0.38%
"Sep 22, 2010",151.83,149.84,152.7,149.1,6.62M,0.73%
"Sep 23, 2010",152.85,151.2,155.92,150.97,7.07M,0.67%
"Sep 24, 2010",160.73,155.43,160.89,155.42,10.59M,5.16%
"Sep 27, 2010",159.37,160.22,161.2,157.88,6.45M,-0.85%
"Sep 28, 2010",159.7,159.84,160.88,154.89,8.49M,0.21%
"Sep 29, 2010",158.99,159.03,161.78,157.75,7.29M,-0.44%
"Sep 30, 2010",157.06,160.01,160.93,155.6,7.61M,-1.21%
"Oct 01, 2010",153.71,157.08,157.44,152.2,8.69M,-2.13%
"Oct 04, 2010",155.39,153.95,155.96,152.79,5.35M,1.09%
"Oct 05, 2010",160.87,157.08,161.21,157.01,5.62M,3.53%
"Oct 06, 2010",155.4,160.6,160.68,154.6,6.06M,-3.40%
"Oct 07, 2010",156.27,156.51,157.4,153.39,4.64M,0.56%
"Oct 08, 2010",155.55,155.18,156.28,152.78,6.92M,-0.46%
"Oct 11, 2010",153.03,154.89,156.63,152.34,4.49M,-1.62%
"Oct 12, 2010",156.48,152.51,156.95,151.4,5.29M,2.25%
"Oct 13, 2010",155.17,156.69,156.79,153.85,5.64M,-0.84%
"Oct 14, 2010",155.53,155.16,156.95,154.23,4.03M,0.23%
"Oct 15, 2010",164.64,158.42,164.88,156.75,10.14M,5.86%
"Oct 18, 2010",163.56,165,165.19,161.82,6.34M,-0.66%
"Oct 19, 2010",158.67,160.68,162.8,157,7.53M,-2.99%
"Oct 20, 2010",158.67,158.78,159.87,156.57,5.79M,0.00%
"Oct 21, 2010",164.97,162.67,166.13,161.29,13.59M,3.97%
"Oct 22, 2010",169.13,162.45,170.17,162.27,16.32M,2.52%
"Oct 25, 2010",169,171.57,171.99,168.32,6.53M,-0.08%
"Oct 26, 2010",169.95,167.57,171,167.5,4.69M,0.56%
"Oct 27, 2010",167.51,168.91,169.75,166.54,5.73M,-1.44%
"Oct 28, 2010",166.84,168.31,168.49,165.05,4.69M,-0.40%
"Oct 29, 2010",165.23,165.8,168.5,164.81,5.00M,-0.96%
"Nov 01, 2010",162.58,164.45,164.58,161.52,5.25M,-1.60%
"Nov 02, 2010",164.61,163.75,165.94,163.36,4.26M,1.25%
"Nov 03, 2010",168.47,165.4,168.61,162.29,6.12M,2.34%
"Nov 04, 2010",168.93,169.86,172.53,168.4,7.40M,0.27%
"Nov 05, 2010",170.77,169.35,171.65,168.59,5.22M,1.09%
"Nov 08, 2010",171.99,170.84,173.2,168.78,5.71M,0.71%
"Nov 09, 2010",170.27,172.67,173.14,169.06,3.98M,-1.00%
"Nov 10, 2010",173.33,170.59,173.37,169.41,5.45M,1.80%
"Nov 11, 2010",170.37,171,172.05,169.42,5.70M,-1.71%
"Nov 12, 2010",165.68,170.12,171.26,165.05,7.17M,-2.75%
"Nov 15, 2010",158.9,165.16,165.35,158.56,9.65M,-4.09%
"Nov 16, 2010",157.78,158.74,160.91,156.77,6.57M,-0.70%
"Nov 17, 2010",158.35,157.84,160.85,157.55,4.53M,0.36%
